epoch	 loss	 accuracy	 val_loss	 val_accuracy	
1	 0.2749	 0.9218		  0.0889	 t 0.9740	
2	 0.0649	 0.9807		  0.0785	 t 0.9780	
3	 0.0277	 0.9908		  0.0811	 t 0.9796	
4	 0.0193	 0.9938		  0.0850	 t 0.9796	
5	 0.0160	 0.9949		  0.0889	 t 0.9800	
6	 0.0103	 0.9969		  0.0952	 t 0.9788	
7	 0.0103	 0.9966		  0.0893	 t 0.9816	
8	 0.0098	 0.9967		  0.0798	 t 0.9816	
9	 0.0056	 0.9982		  0.1105	 t 0.9788	
10	 0.0043	 0.9988		  0.0973	 t 0.9848	
