[epoch:1, iter:95] |Loss: 2.167 | Acc: 18.884% 
[epoch:1, iter:96] |Loss: 2.167 | Acc: 18.854% 
[epoch:1, iter:97] |Loss: 2.169 | Acc: 18.907% 
[epoch:1, iter:98] |Loss: 2.167 | Acc: 18.980% 
[epoch:1, iter:99] |Loss: 2.164 | Acc: 19.010% 
[epoch:1, iter:100] |Loss: 2.162 | Acc: 19.060% 
[epoch:1, iter:101] |Loss: 2.160 | Acc: 19.208% 
[epoch:1, iter:102] |Loss: 2.158 | Acc: 19.314% 
[epoch:1, iter:103] |Loss: 2.155 | Acc: 19.437% 
[epoch:1, iter:104] |Loss: 2.153 | Acc: 19.519% 
[epoch:1, iter:105] |Loss: 2.153 | Acc: 19.524% 
[epoch:1, iter:106] |Loss: 2.149 | Acc: 19.755% 
[epoch:1, iter:107] |Loss: 2.147 | Acc: 19.757% 
[epoch:1, iter:108] |Loss: 2.147 | Acc: 19.759% 
[epoch:1, iter:109] |Loss: 2.145 | Acc: 19.780% 
[epoch:1, iter:110] |Loss: 2.142 | Acc: 19.873% 
[epoch:1, iter:111] |Loss: 2.140 | Acc: 19.892% 
[epoch:1, iter:112] |Loss: 2.139 | Acc: 19.839% 
[epoch:1, iter:113] |Loss: 2.138 | Acc: 19.894% 
[epoch:1, iter:114] |Loss: 2.136 | Acc: 19.947% 
[epoch:1, iter:115] |Loss: 2.133 | Acc: 20.000% 
[epoch:1, iter:116] |Loss: 2.131 | Acc: 20.034% 
[epoch:1, iter:117] |Loss: 2.130 | Acc: 20.051% 
[epoch:1, iter:118] |Loss: 2.128 | Acc: 20.085% 
[epoch:1, iter:119] |Loss: 2.126 | Acc: 20.168% 
[epoch:1, iter:120] |Loss: 2.124 | Acc: 20.300% 
[epoch:1, iter:121] |Loss: 2.122 | Acc: 20.347% 
[epoch:1, iter:122] |Loss: 2.122 | Acc: 20.311% 
[epoch:1, iter:123] |Loss: 2.119 | Acc: 20.358% 
[epoch:1, iter:124] |Loss: 2.119 | Acc: 20.306% 
[epoch:1, iter:125] |Loss: 2.118 | Acc: 20.368% 
[epoch:1, iter:126] |Loss: 2.115 | Acc: 20.476% 
[epoch:1, iter:127] |Loss: 2.114 | Acc: 20.551% 
[epoch:1, iter:128] |Loss: 2.114 | Acc: 20.484% 
[epoch:1, iter:129] |Loss: 2.113 | Acc: 20.481% 
[epoch:1, iter:130] |Loss: 2.112 | Acc: 20.569% 
[epoch:1, iter:131] |Loss: 2.111 | Acc: 20.534% 
[epoch:1, iter:132] |Loss: 2.109 | Acc: 20.561% 
[epoch:1, iter:133] |Loss: 2.108 | Acc: 20.556% 
[epoch:1, iter:134] |Loss: 2.108 | Acc: 20.552% 
[epoch:1, iter:135] |Loss: 2.108 | Acc: 20.489% 
[epoch:1, iter:136] |Loss: 2.108 | Acc: 20.559% 
[epoch:1, iter:137] |Loss: 2.107 | Acc: 20.584% 
[epoch:1, iter:138] |Loss: 2.105 | Acc: 20.681% 
[epoch:1, iter:139] |Loss: 2.104 | Acc: 20.719% 
[epoch:1, iter:140] |Loss: 2.102 | Acc: 20.743% 
[epoch:1, iter:141] |Loss: 2.100 | Acc: 20.766% 
[epoch:1, iter:142] |Loss: 2.100 | Acc: 20.761% 
[epoch:1, iter:143] |Loss: 2.098 | Acc: 20.769% 
[epoch:1, iter:144] |Loss: 2.097 | Acc: 20.792% 
[epoch:1, iter:145] |Loss: 2.096 | Acc: 20.786% 
[epoch:1, iter:146] |Loss: 2.094 | Acc: 20.877% 
[epoch:1, iter:147] |Loss: 2.093 | Acc: 20.884% 
[epoch:1, iter:148] |Loss: 2.092 | Acc: 20.946% 
[epoch:1, iter:149] |Loss: 2.089 | Acc: 21.020% 
[epoch:1, iter:150] |Loss: 2.088 | Acc: 21.027% 
[epoch:1, iter:151] |Loss: 2.087 | Acc: 21.099% 
[epoch:1, iter:152] |Loss: 2.086 | Acc: 21.145% 
[epoch:1, iter:153] |Loss: 2.086 | Acc: 21.163% 
[epoch:1, iter:154] |Loss: 2.084 | Acc: 21.169% 
[epoch:1, iter:155] |Loss: 2.083 | Acc: 21.187% 
[epoch:1, iter:156] |Loss: 2.082 | Acc: 21.218% 
[epoch:1, iter:157] |Loss: 2.081 | Acc: 21.236% 
[epoch:1, iter:158] |Loss: 2.079 | Acc: 21.266% 
